"Package","Version"
"DBI","1.3.0"
"Deriv","4.3.5"
"GPArotation","2026.8-2"
"R6","2.6.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppArmadillo","15.6.0-1"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.6"
"S7","0.2.2"
"admisc","0.41"
"askpass","1.2.1"
"assertthat","0.2.1"
"backports","1.5.1"
"base64enc","0.1-6"
"bit","4.6.0"
"bit64","4.8.6"
"broom","1.0.13"
"bslib","0.12.0"
"cachem","1.1.0"
"cellranger","1.1.0"
"cli","3.6.6"
"clipr","0.8.1"
"commonmark","2.0.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"data.table","1.18.6.1"
"digest","0.6.39"
"dplyr","1.2.1"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"forcats","1.0.1"
"fs","2.1.0"
"geepack","1.3.13"
"generics","0.1.4"
"ggplot2","4.0.3"
"glue","1.8.1"
"gtable","0.3.6"
"haven","2.5.5"
"hms","1.1.4"
"htmltools","0.5.9"
"httpuv","1.6.17"
"isoband","0.3.0"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"labeling","0.4.3"
"later","1.4.8"
"lavaan","0.7-2"
"lifecycle","1.0.5"
"lme4","2.0-6"
"lmerTest","3.2-1"
"lmtest","0.9-40"
"magrittr","2.0.5"
"memoise","2.0.1"
"mime","0.13"
"minqa","1.2.8"
"mitools","2.7"
"mnormt","2.1.2"
"mvtnorm","1.4-2"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"officer","0.7.6"
"openssl","2.4.2"
"otel","0.2.0"
"pROC","1.19.1"
"pbivnorm","0.6.0"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"polycor","0.8-2"
"prettyunits","1.2.0"
"progress","1.2.3"
"promises","1.5.0"
"psych","2.6.5"
"purrr","1.2.2"
"quadprog","1.5-8"
"ragg","1.5.2"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"readr","2.2.0"
"readxl","1.5.0"
"reformulas","0.4.4"
"regmedint","1.0.2"
"rematch","2.0.0"
"rlang","1.3.0"
"sandwich","3.1-3"
"sass","0.4.10"
"scales","1.4.0"
"semTools","0.5-9"
"shiny","1.14.0"
"sourcetools","0.1.7-2"
"stringi","1.8.9"
"stringr","1.6.0"
"survey","4.5"
"sys","3.4.3"
"systemfonts","1.3.2"
"textshaping","1.0.5"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tzdb","0.5.0"
"utf8","1.2.6"
"uuid","1.2-2"
"vctrs","0.7.3"
"viridisLite","0.4.3"
"vroom","1.7.1"
"withr","3.0.3"
"writexl","2.0.1"
"xml2","1.6.0"
"xtable","1.8-8"
"zip","3.0.2"
"zoo","1.9-0"
